Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
SLC25A5	8.887130825	8.765467376	8.829382473	8.528369316	8.506067544	8.496577418	8.647924772	8.645037615	8.639892555	9.517452888	9.465854063	9.453606971	8.961463676	8.97578735	8.914062274	9.265372527	9.293706617	9.309916848
MCUB	3.113268617	3.390226572	3.172678296	3.189739932	3.243672444	3.053703029	3.263749778	3.337278275	3.487904012	3.142583503	2.870177261	2.53660004	3.456784895	3.734793315	3.666885855	3.277716489	3.431408551	3.023463821
HOXA11	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	2.165157293	2.039077328	1.70681135	3.255205634	3.546180542	3.608818807	2.696258306	3.196884936	2.915194807
POLR2J	4.742042087	4.696208528	4.911491154	5.012044959	5.11243602	4.958638143	5.05462436	5.015283111	4.914724281	5.457430003	5.509813777	5.328907017	5.598277303	5.710228951	5.663380594	5.879070655	5.795246576	5.767022417
DHX33	6.457605914	6.503918988	6.467918926	6.065206505	5.971556743	5.99621554	6.262356532	6.328510744	6.204600825	6.776611893	6.725286995	6.723177417	6.288261118	6.366983024	6.452184628	6.599071743	6.576214411	6.395797274
THSD7A	1.199503624	1.8757385	1.718241475	2.009284947	2.398984562	1.775588648	1.387593242	1.368306199	1.703110811	3.60340283	3.714268204	3.783004785	6.077576306	6.074412275	6.21394885	4.614499918	4.596929529	4.534864974
LIG3	4.942124735	4.925368692	4.963598371	4.633447087	4.492955196	4.624789735	4.865346407	4.936896915	4.819433234	5.812748178	5.811983867	5.901986649	5.640298149	5.529116306	5.67191318	5.296261878	5.450851217	5.375830548
RPAP3	5.389369111	5.446069244	5.401609038	5.206215081	5.3639011	5.227188018	5.168285249	5.152027021	5.280992508	5.864306541	5.936292128	5.901986649	5.904469162	5.965622348	5.975149948	6.040077582	6.080480611	6.176475954
ACSM3	2.736149192	2.877495691	2.845681343	2.661113903	2.210550143	2.38267628	2.479639475	2.295039121	2.486219711	2.725848101	2.836537821	2.865895971	1.32677054	1.164792706	1.714252138	2.013019718	2.147141016	2.165532012
REXO5	2.356665584	2.135403665	2.152295124	1.054047548	0.837535308	1.046067054	1.903678483	1.707432265	2.003758219	3.373632016	3.505361592	3.29685372	2.488160269	2.264801006	2.719893486	3.137082813	3.506713494	3.218306134
